Username,Round of 64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round of 32,,,,,,,,,,,,,,,,Sweet 16,,,,,,,,Elite 8,,,,Final Four,,Championship,Tie Breaker
,East,,,,,,,,West,,,,,,,,South,,,,,,,,MidWest,,,,,,,,East,,,,West,,,,South,,,,MidWest,,,,East,,West,,South,,MidWest,,East,West,South,MidWest,East/West,South/MidWest,Champion
dgh4iu, UCONN, Northwestern, San Diego St., Auburn, BYU, Illinois, Washington St., Iowa State, North Carolina, Michigan St., Saint Mary's, Alabama, New Mexico, Baylor, Dayton, Arizona, Houston, Nebraska, Wisconsin, Duke, NC State, Kentucky, Florida, Marquette, Purdue, TCU, Gonzaga, Kansas, South Carolina, Creighton, Texas, Tennessee, UCONN, Auburn, Illinois, Iowa State, Michigan St., Saint Mary's, Baylor, Arizona, Nebraska, Wisconsin, Kentucky, Marquette, Purdue, Gonzaga, Creighton, Tennessee, UCONN, Illinois, Michigan St., Baylor, Nebraska, Marquette, Purdue, Creighton, Illinois, Baylor, Marquette, Purdue, Illinois, Purdue, Purdue, 155, 
dgh4iu, UCONN, Northwestern, UAB, Auburn, BYU, Illinois, Washington St., Iowa State, North Carolina, Michigan St., Saint Mary's, Alabama, New Mexico, Baylor, Dayton, Arizona, Houston, Nebraska, Wisconsin, Duke, NC State, Kentucky, Florida, Marquette, Purdue, TCU, Gonzaga, Samford, Oregon, Creighton, Texas, Tennessee, UCONN, Auburn, BYU, Iowa State, Michigan St., Saint Mary's, Baylor, Arizona, Houston, Wisconsin, NC State, Marquette, Purdue, Gonzaga, Creighton, Texas, UCONN, Iowa State, Saint Mary's, Baylor, Houston, Marquette, Purdue, Creighton, UCONN, Baylor, Houston, Purdue, UCONN, Houston, Houston, 150, 
docwaters1, UCONN, Florida Atlantic, San Diego St., Auburn, Duquesne, Illinois, Drake, Iowa State, North Carolina, Michigan St., Saint Mary's, Alabama, Clemson, Baylor, Dayton, Arizona, Houston, Nebraska, Wisconsin, Duke, NC State, Kentucky, Florida, Marquette, Purdue, TCU, Gonzaga, Kansas, South Carolina, Creighton, Texas, Tennessee, UCONN, San Diego St., Illinois, Iowa State, Michigan St., Saint Mary's, Clemson, Arizona, Houston, Wisconsin, NC State, Marquette, Purdue, Gonzaga, Creighton, Tennessee, UCONN, Iowa State, Saint Mary's, Arizona, Houston, Marquette, Purdue, Creighton, UCONN, Arizona, Houston, Purdue, UCONN, Houston, Houston, 131, 
docwaters1, UCONN, Northwestern, San Diego St., Auburn, Duquesne, Illinois, Drake, Iowa State, North Carolina, Michigan St., Saint Mary's, Alabama, New Mexico, Baylor, Dayton, Arizona, Houston, Nebraska, James Madison, Duke, NC State, Kentucky, Florida, Marquette, Purdue, TCU, McNeese, Kansas, Oregon, Creighton, Texas, Tennessee, UCONN, Auburn, Illinois, Iowa State, North Carolina, Alabama, New Mexico, Arizona, Houston, Duke, Kentucky, Marquette, Purdue, Kansas, Creighton, Texas, UCONN, Iowa State, Alabama, Arizona, Houston, Marquette, Purdue, Creighton, UCONN, Arizona, Houston, Purdue, UCONN, Houston, Houston, 142, 
Finley, UCONN, Northwestern, San Diego St., Auburn, Duquesne, Illinois, Drake, Iowa State, North Carolina, Michigan St., Saint Mary's, Charleston, Clemson, Baylor, Dayton, Arizona, Houston, Texas A&M, Wisconsin, Duke, NC State, Kentucky, Florida, Marquette, Purdue, Utah St., Gonzaga, Samford, Oregon, Creighton, Texas, Tennessee, UCONN, Auburn, Illinois, Iowa State, North Carolina, Saint Mary's, Baylor, Arizona, Houston, Wisconsin, NC State, Florida, Purdue, Samford, Oregon, Tennessee, Auburn, Iowa State, North Carolina, Baylor, Wisconsin, Florida, Purdue, Tennessee, Auburn, Baylor, Wisconsin, Purdue, Baylor, Wisconsin, Baylor, 149, 
Griff73, UCONN, Northwestern, UAB, Auburn, BYU, Illinois, Drake, Iowa State, North Carolina, Michigan St., Saint Mary's, Alabama, Clemson, Baylor, Dayton, Arizona, Houston, Nebraska, Wisconsin, Duke, NC State, Kentucky, Florida, Marquette, Purdue, Utah St., Gonzaga, Kansas, Oregon, Creighton, Texas, Tennessee, UCONN, Auburn, Illinois, Iowa State, North Carolina, Alabama, Baylor, Arizona, Houston, Duke, Kentucky, Marquette, Purdue, Kansas, Creighton, Tennessee, UCONN, Iowa State, North Carolina, Arizona, Houston, Marquette, Kansas, Tennessee, Iowa State, Arizona, Houston, Tennessee, Arizona, Tennessee, Arizona, 157, 
Griff73, UCONN, Northwestern, San Diego St., Auburn, BYU, Illinois, Drake, Iowa State, North Carolina, Michigan St., Saint Mary's, Alabama, Clemson, Baylor, Dayton, Arizona, Houston, Nebraska, Wisconsin, Duke, NC State, Kentucky, Florida, Marquette, Purdue, TCU, Gonzaga, Kansas, Oregon, Creighton, Texas, Tennessee, UCONN, Auburn, Illinois, Iowa State, North Carolina, Alabama, Baylor, Arizona, Houston, Duke, NC State, Marquette, Purdue, Kansas, Creighton, Tennessee, UCONN, Illinois, North Carolina, Arizona, Houston, Marquette, Purdue, Tennessee, UCONN, North Carolina, Marquette, Tennessee, UCONN, Tennessee, Tennessee, 163, 
HURRICANE2828, UCONN, Florida Atlantic, San Diego St., Auburn, BYU, Illinois, Washington St., Iowa State, North Carolina, Michigan St., Saint Mary's, Alabama, New Mexico, Baylor, Nevada, Arizona, Houston, Nebraska, Wisconsin, Duke, NC State, Kentucky, Florida, Marquette, Purdue, TCU, Gonzaga, Kansas, Oregon, Creighton, Texas, Tennessee, UCONN, San Diego St., Illinois, Washington St., North Carolina, Saint Mary's, Baylor, Arizona, Houston, Duke, Kentucky, Marquette, Purdue, Kansas, Oregon, Tennessee, UCONN, Illinois, North Carolina, Arizona, Duke, Kentucky, Purdue, Tennessee, Illinois, North Carolina, Duke, Purdue, North Carolina, Purdue, Purdue, 115, 
HURRICANE2828, UCONN, Northwestern, San Diego St., Auburn, BYU, Illinois, Washington St., Iowa State, North Carolina, Michigan St., Saint Mary's, Alabama, New Mexico, Baylor, Dayton, Arizona, Houston, Nebraska, Wisconsin, Duke, NC State, Kentucky, Florida, Marquette, Purdue, TCU, Gonzaga, Kansas, South Carolina, Creighton, Texas, Tennessee, UCONN, Auburn, Illinois, Washington St., North Carolina, Alabama, Baylor, Arizona, Nebraska, Duke, NC State, Florida, Purdue, Kansas, Creighton, Tennessee, UCONN, Illinois, North Carolina, Arizona, Nebraska, Florida, Purdue, Tennessee, Illinois, Arizona, Nebraska, Purdue, Arizona, Purdue, Arizona, 117, 
JaceE35, UCONN, Northwestern, San Diego St., Auburn, BYU, Illinois, Washington St., Iowa State, North Carolina, Mississippi St., Saint Mary's, Alabama, New Mexico, Baylor, Dayton, Arizona, Houston, Nebraska, Wisconsin, Duke, NC State, Kentucky, Florida, Marquette, Purdue, Utah St., Gonzaga, Kansas, Oregon, Creighton, Texas, Tennessee, UCONN, Auburn, BYU, Iowa State, North Carolina, Saint Mary's, Baylor, Arizona, Houston, Duke, Kentucky, Marquette, Purdue, Gonzaga, Creighton, Tennessee, UCONN, BYU, Saint Mary's, Arizona, Houston, Marquette, Purdue, Creighton, UCONN, Arizona, Houston, Creighton, UCONN, Creighton, UCONN, 129, 
